Fecha,Consumo_kWh
2018-02-01 00:00:00,0.863
2018-02-01 01:00:00,1.367
2018-02-01 02:00:00,0.373
2018-02-01 03:00:00,0.368
2018-02-01 04:00:00,0.251
2018-02-01 05:00:00,0.241
2018-02-01 06:00:00,0.931
2018-02-01 07:00:00,0.691
2018-02-01 08:00:00,1.472
2018-02-01 09:00:00,1.335
2018-02-01 10:00:00,0.237
2018-02-01 11:00:00,0.292
2018-02-01 12:00:00,0.979
2018-02-01 13:00:00,1.3769999999999998
2018-02-01 14:00:00,1.135
2018-02-01 15:00:00,1.135
2018-02-01 16:00:00,1.86
2018-02-01 17:00:00,0.959
2018-02-01 18:00:00,0.767
2018-02-01 19:00:00,0.433
2018-02-01 20:00:00,1.047
2018-02-01 21:00:00,0.986
2018-02-01 22:00:00,2.315
2018-02-01 23:00:00,2.189
2018-02-02 00:00:00,0.7509999999999999
2018-02-02 01:00:00,0.239
2018-02-02 02:00:00,0.236
2018-02-02 03:00:00,0.273
2018-02-02 04:00:00,0.28600000000000003
2018-02-02 05:00:00,0.418
2018-02-02 06:00:00,0.987
2018-02-02 07:00:00,0.353
2018-02-02 08:00:00,1.114
2018-02-02 09:00:00,1.579
2018-02-02 10:00:00,0.551
2018-02-02 11:00:00,1.0659999999999998
2018-02-02 12:00:00,1.047
2018-02-02 13:00:00,2.485
2018-02-02 14:00:00,2.85
2018-02-02 15:00:00,0.852
2018-02-02 16:00:00,1.739
2018-02-02 17:00:00,0.816
2018-02-02 18:00:00,0.693
2018-02-02 19:00:00,0.379
2018-02-02 20:00:00,0.603
2018-02-02 21:00:00,0.93
2018-02-02 22:00:00,1.964
2018-02-02 23:00:00,1.809
2018-02-03 00:00:00,1.127
2018-02-03 01:00:00,0.5329999999999999
2018-02-03 02:00:00,0.268
2018-02-03 03:00:00,0.28800000000000003
2018-02-03 04:00:00,0.231
2018-02-03 05:00:00,0.232
2018-02-03 06:00:00,0.409
2018-02-03 07:00:00,0.289
2018-02-03 08:00:00,0.238
2018-02-03 09:00:00,0.317
2018-02-03 10:00:00,2.782
2018-02-03 11:00:00,2.457
2018-02-03 12:00:00,2.0
2018-02-03 13:00:00,0.7879999999999999
2018-02-03 14:00:00,2.028
2018-02-03 15:00:00,0.6559999999999999
2018-02-03 16:00:00,1.913
2018-02-03 17:00:00,0.967
2018-02-03 18:00:00,0.593
2018-02-03 19:00:00,0.446
2018-02-03 20:00:00,0.63
2018-02-03 21:00:00,0.358
2018-02-03 22:00:00,0.624
2018-02-03 23:00:00,1.466
2018-02-04 00:00:00,1.4240000000000002
2018-02-04 01:00:00,0.7070000000000001
2018-02-04 02:00:00,0.231
2018-02-04 03:00:00,0.232
2018-02-04 04:00:00,0.446
2018-02-04 05:00:00,0.196
2018-02-04 06:00:00,0.101
2018-02-04 07:00:00,0.103
2018-02-04 08:00:00,0.317
2018-02-04 09:00:00,0.754
2018-02-04 10:00:00,2.117
2018-02-04 11:00:00,2.567
2018-02-04 12:00:00,2.6460000000000004
2018-02-04 13:00:00,4.698
2018-02-04 14:00:00,6.3679999999999986
2018-02-04 15:00:00,3.057
2018-02-04 16:00:00,3.691
2018-02-04 17:00:00,2.337
2018-02-04 18:00:00,1.232
2018-02-04 19:00:00,0.6829999999999999
2018-02-04 20:00:00,2.862
2018-02-04 21:00:00,1.128
2018-02-04 22:00:00,0.718
2018-02-04 23:00:00,1.672
2018-02-05 00:00:00,2.519
2018-02-05 01:00:00,1.85
2018-02-05 02:00:00,0.304
2018-02-05 03:00:00,0.239
2018-02-05 04:00:00,0.24
2018-02-05 05:00:00,0.16899999999999998
2018-02-05 06:00:00,1.686
2018-02-05 07:00:00,0.868
2018-02-05 08:00:00,0.399
2018-02-05 09:00:00,0.607
2018-02-05 10:00:00,0.229
2018-02-05 11:00:00,0.261
2018-02-05 12:00:00,0.274
2018-02-05 13:00:00,0.32
2018-02-05 14:00:00,0.884
2018-02-05 15:00:00,1.0
2018-02-05 16:00:00,1.546
2018-02-05 17:00:00,1.358
2018-02-05 18:00:00,0.524
2018-02-05 19:00:00,0.693
2018-02-05 20:00:00,0.693
2018-02-05 21:00:00,0.934
2018-02-05 22:00:00,1.882
2018-02-05 23:00:00,1.539
2018-02-06 00:00:00,0.8370000000000001
2018-02-06 01:00:00,0.662
2018-02-06 02:00:00,0.585
2018-02-06 03:00:00,0.5529999999999999
2018-02-06 04:00:00,0.546
2018-02-06 05:00:00,0.5670000000000001
2018-02-06 06:00:00,0.679
2018-02-06 07:00:00,0.952
2018-02-06 08:00:00,1.152
2018-02-06 09:00:00,1.258
2018-02-06 10:00:00,1.3530000000000002
2018-02-06 11:00:00,1.36
2018-02-06 12:00:00,1.3730000000000002
2018-02-06 13:00:00,1.396
2018-02-06 14:00:00,1.3330000000000002
2018-02-06 15:00:00,1.266
2018-02-06 16:00:00,1.261
2018-02-06 17:00:00,1.319
2018-02-06 18:00:00,1.4280000000000002
2018-02-06 19:00:00,1.598
2018-02-06 20:00:00,1.67
2018-02-06 21:00:00,1.621
2018-02-06 22:00:00,1.406
2018-02-06 23:00:00,1.121
2018-02-07 00:00:00,0.382
2018-02-07 01:00:00,0.281
2018-02-07 02:00:00,0.276
2018-02-07 03:00:00,0.274
2018-02-07 04:00:00,0.327
2018-02-07 05:00:00,0.451
2018-02-07 06:00:00,1.877
2018-02-07 07:00:00,1.974
2018-02-07 08:00:00,0.25
2018-02-07 09:00:00,0.278
2018-02-07 10:00:00,0.233
2018-02-07 11:00:00,0.227
2018-02-07 12:00:00,0.887
