Fecha,Fecha.1,Consumo_kWh,Fecha,TPD
2018-03-03 01:00:00,2018-03-03 01:00:00,0.3625927809693104,2018-03-03 01:00:00,120.78955370626295
2018-03-03 02:00:00,2018-03-03 02:00:00,0.09172322005956474,2018-03-03 02:00:00,127.17978441352064
2018-03-03 03:00:00,2018-03-03 03:00:00,0.2042960936813829,2018-03-03 03:00:00,127.03583988787952
2018-03-03 04:00:00,2018-03-03 04:00:00,0.2026158027252724,2018-03-03 04:00:00,127.79852741296595
2018-03-03 05:00:00,2018-03-03 05:00:00,0.1924776193388705,2018-03-03 05:00:00,127.77806099348464
2018-03-03 06:00:00,2018-03-03 06:00:00,0.9583329258791329,2018-03-03 06:00:00,126.12292439524764
2018-03-03 07:00:00,2018-03-03 07:00:00,0.3937063368489448,2018-03-03 07:00:00,124.59236762196372
2018-03-03 08:00:00,2018-03-03 08:00:00,0.8912881081500903,2018-03-03 08:00:00,124.62309845317141
2018-03-03 09:00:00,2018-03-03 09:00:00,0.5885073563468303,2018-03-03 09:00:00,123.51805333331514
2018-03-03 10:00:00,2018-03-03 10:00:00,0.2669322162472716,2018-03-03 10:00:00,122.39896570600936
2018-03-03 11:00:00,2018-03-03 11:00:00,1.2267393269297773,2018-03-03 11:00:00,121.7661722328613
2018-03-03 12:00:00,2018-03-03 12:00:00,1.2687231318343877,2018-03-03 12:00:00,123.30221079955362
2018-03-03 13:00:00,2018-03-03 13:00:00,0.7466418212418986,2018-03-03 13:00:00,126.75459640682226
2018-03-03 14:00:00,2018-03-03 14:00:00,1.1405527001152602,2018-03-03 14:00:00,130.41493023812131
2018-03-03 15:00:00,2018-03-03 15:00:00,1.1504929511790878,2018-03-03 15:00:00,131.499182927869
2018-03-03 16:00:00,2018-03-03 16:00:00,1.3113926020818667,2018-03-03 16:00:00,131.8370700938429
2018-03-03 17:00:00,2018-03-03 17:00:00,0.9788441497021478,2018-03-03 17:00:00,130.62794687867478
2018-03-03 18:00:00,2018-03-03 18:00:00,0.5170942259955269,2018-03-03 18:00:00,126.78697679907972
2018-03-03 19:00:00,2018-03-03 19:00:00,0.5788509779021794,2018-03-03 19:00:00,125.6078757668301
2018-03-03 20:00:00,2018-03-03 20:00:00,0.8193716125310782,2018-03-03 20:00:00,122.27127268280573
2018-03-03 21:00:00,2018-03-03 21:00:00,0.9919961125780256,2018-03-03 21:00:00,119.5060901152921
2018-03-03 22:00:00,2018-03-03 22:00:00,1.3068459840486877,2018-03-03 22:00:00,118.06925695285351
2018-03-03 23:00:00,2018-03-03 23:00:00,1.6270991249739657,2018-03-03 23:00:00,117.49082200809609
