Fecha,Fecha.1,Consumo_kWh,Fecha,VE
2018-03-03 01:00:00,2018-03-03 01:00:00,0.3625927809693104,2018-03-03 01:00:00,52.40223400816396
2018-03-03 02:00:00,2018-03-03 02:00:00,0.09172322005956474,2018-03-03 02:00:00,72.64253642264012
2018-03-03 03:00:00,2018-03-03 03:00:00,0.2042960936813829,2018-03-03 03:00:00,72.73438811428862
2018-03-03 04:00:00,2018-03-03 04:00:00,0.2026158027252724,2018-03-03 04:00:00,72.27281226606702
2018-03-03 05:00:00,2018-03-03 05:00:00,0.1924776193388705,2018-03-03 05:00:00,71.25274306905442
2018-03-03 06:00:00,2018-03-03 06:00:00,0.9583329258791329,2018-03-03 06:00:00,70.2335337361263
2018-03-03 07:00:00,2018-03-03 07:00:00,0.3937063368489448,2018-03-03 07:00:00,70.56695355424526
2018-03-03 08:00:00,2018-03-03 08:00:00,0.8912881081500903,2018-03-03 08:00:00,134.51383090114044
2018-03-03 09:00:00,2018-03-03 09:00:00,0.5885073563468303,2018-03-03 09:00:00,133.66249520909338
2018-03-03 10:00:00,2018-03-03 10:00:00,0.2669322162472716,2018-03-03 10:00:00,132.84073025693883
2018-03-03 11:00:00,2018-03-03 11:00:00,1.2267393269297773,2018-03-03 11:00:00,131.81287344536355
2018-03-03 12:00:00,2018-03-03 12:00:00,1.2687231318343877,2018-03-03 12:00:00,128.3451487680552
2018-03-03 13:00:00,2018-03-03 13:00:00,0.7466418212418986,2018-03-03 13:00:00,129.07190583586672
2018-03-03 14:00:00,2018-03-03 14:00:00,1.1405527001152602,2018-03-03 14:00:00,135.7005063673588
2018-03-03 15:00:00,2018-03-03 15:00:00,1.1504929511790878,2018-03-03 15:00:00,139.44311876252704
2018-03-03 16:00:00,2018-03-03 16:00:00,1.3113926020818667,2018-03-03 16:00:00,140.0183922926358
2018-03-03 17:00:00,2018-03-03 17:00:00,0.9788441497021478,2018-03-03 17:00:00,138.60471288862138
2018-03-03 18:00:00,2018-03-03 18:00:00,0.5170942259955269,2018-03-03 18:00:00,61.756741453292925
2018-03-03 19:00:00,2018-03-03 19:00:00,0.5788509779021794,2018-03-03 19:00:00,62.20176966415961
2018-03-03 20:00:00,2018-03-03 20:00:00,0.8193716125310782,2018-03-03 20:00:00,49.93296137188672
2018-03-03 21:00:00,2018-03-03 21:00:00,0.9919961125780256,2018-03-03 21:00:00,48.843808673179744
