CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000001720511XQ;05/03/2018;22;2,188;R
ES0021000001720511XQ;05/03/2018;23;1,677;R
ES0021000001720511XQ;05/03/2018;24;1,687;R
ES0021000001720511XQ;06/03/2018;1;0,593;E
ES0021000001720511XQ;06/03/2018;2;0,474;E
ES0021000001720511XQ;06/03/2018;3;0,419;E
ES0021000001720511XQ;06/03/2018;4;0,395;E
ES0021000001720511XQ;06/03/2018;5;0,389;E
ES0021000001720511XQ;06/03/2018;6;0,404;E
ES0021000001720511XQ;06/03/2018;7;0,479;E
ES0021000001720511XQ;06/03/2018;8;0,650;E
ES0021000001720511XQ;06/03/2018;9;0,787;E
ES0021000001720511XQ;06/03/2018;10;0,867;E
ES0021000001720511XQ;06/03/2018;11;0,926;E
ES0021000001720511XQ;06/03/2018;12;0,934;E
ES0021000001720511XQ;06/03/2018;13;0,946;E
ES0021000001720511XQ;06/03/2018;14;0,963;E
ES0021000001720511XQ;06/03/2018;15;0,919;E
ES0021000001720511XQ;06/03/2018;16;0,863;E
ES0021000001720511XQ;06/03/2018;17;0,849;E
ES0021000001720511XQ;06/03/2018;18;0,874;E
ES0021000001720511XQ;06/03/2018;19;0,911;E
ES0021000001720511XQ;06/03/2018;20;1,019;E
ES0021000001720511XQ;06/03/2018;21;1,117;E
ES0021000001720511XQ;06/03/2018;22;1,111;E
ES0021000001720511XQ;06/03/2018;23;0,969;E
ES0021000001720511XQ;06/03/2018;24;0,782;E
ES0021000001720511XQ;07/03/2018;1;0,598;E
ES0021000001720511XQ;07/03/2018;2;0,477;E
ES0021000001720511XQ;07/03/2018;3;0,422;E
ES0021000001720511XQ;07/03/2018;4;0,398;E
ES0021000001720511XQ;07/03/2018;5;0,392;E
ES0021000001720511XQ;07/03/2018;6;0,407;E
ES0021000001720511XQ;07/03/2018;7;0,482;E
ES0021000001720511XQ;07/03/2018;8;0,655;E
ES0021000001720511XQ;07/03/2018;9;0,793;E
ES0021000001720511XQ;07/03/2018;10;0,873;E
ES0021000001720511XQ;07/03/2018;11;0,933;E
ES0021000001720511XQ;07/03/2018;12;0,941;E
ES0021000001720511XQ;07/03/2018;13;0,953;E
ES0021000001720511XQ;07/03/2018;14;0,970;E
ES0021000001720511XQ;07/03/2018;15;0,926;E
ES0021000001720511XQ;07/03/2018;16;0,870;E
ES0021000001720511XQ;07/03/2018;17;0,855;E
ES0021000001720511XQ;07/03/2018;18;0,880;E
ES0021000001720511XQ;07/03/2018;19;0,917;E
ES0021000001720511XQ;07/03/2018;20;1,027;E
ES0021000001720511XQ;07/03/2018;21;1,125;E
ES0021000001720511XQ;07/03/2018;22;1,120;E
ES0021000001720511XQ;07/03/2018;23;0,977;E
ES0021000001720511XQ;07/03/2018;24;0,788;E
ES0021000001720511XQ;08/03/2018;1;0,596;E
ES0021000001720511XQ;08/03/2018;2;0,476;E
ES0021000001720511XQ;08/03/2018;3;0,420;E
ES0021000001720511XQ;08/03/2018;4;0,397;E
ES0021000001720511XQ;08/03/2018;5;0,391;E
ES0021000001720511XQ;08/03/2018;6;0,406;E
ES0021000001720511XQ;08/03/2018;7;0,481;E
ES0021000001720511XQ;08/03/2018;8;0,653;E
ES0021000001720511XQ;08/03/2018;9;0,791;E
ES0021000001720511XQ;08/03/2018;10;0,870;E
ES0021000001720511XQ;08/03/2018;11;0,930;E
ES0021000001720511XQ;08/03/2018;12;0,938;E
ES0021000001720511XQ;08/03/2018;13;0,950;E
ES0021000001720511XQ;08/03/2018;14;0,967;E
ES0021000001720511XQ;08/03/2018;15;0,923;E
ES0021000001720511XQ;08/03/2018;16;0,867;E
ES0021000001720511XQ;08/03/2018;17;0,853;E
ES0021000001720511XQ;08/03/2018;18;0,878;E
