Fecha,Consumo_kWh,Fecha
2018-01-01 00:00:00,0.486,
2018-01-01 01:00:00,0.40299999999999997,
2018-01-01 02:00:00,0.344,
2018-01-01 03:00:00,0.308,
2018-01-01 04:00:00,0.28800000000000003,
2018-01-01 05:00:00,0.282,
2018-01-01 06:00:00,0.29,
2018-01-01 07:00:00,0.311,
2018-01-01 08:00:00,0.36200000000000004,
2018-01-01 09:00:00,0.4605,
2018-01-01 10:00:00,0.5589999999999999,
2018-01-01 11:00:00,0.612,
2018-01-01 12:00:00,0.634,
2018-01-01 13:00:00,0.6559999999999999,
2018-01-01 14:00:00,0.652,
2018-01-01 15:00:00,0.59,
2018-01-01 16:00:00,0.56,
2018-01-01 17:00:00,0.5720000000000001,
2018-01-01 18:00:00,0.65,
2018-01-01 19:00:00,0.7090000000000001,
2018-01-01 20:00:00,0.754,
2018-01-01 21:00:00,0.76,
2018-01-01 22:00:00,0.672,
2018-01-01 23:00:00,0.552,
2018-01-02 00:00:00,0.43,
2018-01-02 01:00:00,0.337,
2018-01-02 02:00:00,0.29600000000000004,
2018-01-02 03:00:00,0.27699999999999997,
2018-01-02 04:00:00,0.272,
2018-01-02 05:00:00,0.282,
2018-01-02 06:00:00,0.33399999999999996,
2018-01-02 07:00:00,0.462,
2018-01-02 08:00:00,0.573,
2018-01-02 09:00:00,0.637,
2018-01-02 10:00:00,0.6940000000000001,
2018-01-02 11:00:00,0.6990000000000001,
2018-01-02 12:00:00,0.7020000000000001,
2018-01-02 13:00:00,0.713,
2018-01-02 14:00:00,0.6829999999999999,
2018-01-02 15:00:00,0.654,
2018-01-02 16:00:00,0.654,
2018-01-02 17:00:00,0.6920000000000001,
2018-01-02 18:00:00,0.765,
2018-01-02 19:00:00,0.818,
2018-01-02 20:00:00,0.84,
2018-01-02 21:00:00,0.8190000000000001,
2018-01-02 22:00:00,0.7170000000000001,
2018-01-02 23:00:00,0.578,
2018-01-03 00:00:00,0.491,
2018-01-03 01:00:00,0.386,
2018-01-03 02:00:00,0.33799999999999997,
2018-01-03 03:00:00,0.317,
2018-01-03 04:00:00,0.311,
2018-01-03 05:00:00,0.322,
2018-01-03 06:00:00,0.381,
2018-01-03 07:00:00,0.528,
2018-01-03 08:00:00,0.655,
2018-01-03 09:00:00,0.727,
2018-01-03 10:00:00,0.792,
2018-01-03 11:00:00,0.7979999999999999,
2018-01-03 12:00:00,0.8009999999999999,
2018-01-03 13:00:00,0.813,
2018-01-03 14:00:00,0.779,
2018-01-03 15:00:00,0.746,
2018-01-03 16:00:00,0.746,
2018-01-03 17:00:00,0.789,
2018-01-03 18:00:00,0.872,
2018-01-03 19:00:00,0.932,
2018-01-03 20:00:00,0.9570000000000001,
2018-01-03 21:00:00,0.9329999999999999,
2018-01-03 22:00:00,0.816,
2018-01-03 23:00:00,0.659,
2018-01-04 00:00:00,0.494,
2018-01-04 01:00:00,0.387,
2018-01-04 02:00:00,0.34,
2018-01-04 03:00:00,0.318,
2018-01-04 04:00:00,0.312,
2018-01-04 05:00:00,0.324,
2018-01-04 06:00:00,0.38299999999999995,
2018-01-04 07:00:00,0.53,
2018-01-04 08:00:00,0.657,
2018-01-04 09:00:00,0.73,
2018-01-04 10:00:00,0.795,
2018-01-04 11:00:00,0.8009999999999999,
2018-01-04 12:00:00,0.804,
2018-01-04 13:00:00,0.816,
2018-01-04 14:00:00,0.782,
2018-01-04 15:00:00,0.7490000000000001,
2018-01-04 16:00:00,0.7490000000000001,
2018-01-04 17:00:00,0.7929999999999999,
2018-01-04 18:00:00,0.8759999999999999,
2018-01-04 19:00:00,0.9359999999999999,
2018-01-04 20:00:00,0.961,
2018-01-04 21:00:00,0.937,
2018-01-04 22:00:00,0.82,
2018-01-04 23:00:00,0.662,
2018-01-05 00:00:00,0.742,
2018-01-05 01:00:00,0.718,
2018-01-05 02:00:00,0.43799999999999994,
2018-01-05 03:00:00,0.397,
2018-01-05 04:00:00,0.294,
2018-01-05 05:00:00,0.23600000000000002,
2018-01-05 06:00:00,0.667,
2018-01-05 07:00:00,0.469,
2018-01-05 08:00:00,0.364,
2018-01-05 09:00:00,0.387,
2018-01-05 10:00:00,0.507,
2018-01-05 11:00:00,0.311,
2018-01-05 12:00:00,0.633,
2018-01-05 13:00:00,1.084,
2018-01-05 14:00:00,1.485,
2018-01-05 15:00:00,1.271,
2018-01-05 16:00:00,0.7340000000000001,
2018-01-05 17:00:00,0.6829999999999999,
2018-01-05 18:00:00,0.777,
2018-01-05 19:00:00,1.031,
2018-01-05 20:00:00,0.748,
2018-01-05 21:00:00,0.606,
2018-01-05 22:00:00,0.629,
2018-01-05 23:00:00,0.9,
2018-01-06 00:00:00,0.626,
2018-01-06 01:00:00,0.5670000000000001,
2018-01-06 02:00:00,0.45899999999999996,
2018-01-06 03:00:00,0.5870000000000001,
2018-01-06 04:00:00,0.42200000000000004,
2018-01-06 05:00:00,0.413,
2018-01-06 06:00:00,0.385,
2018-01-06 07:00:00,0.358,
2018-01-06 08:00:00,0.43,
2018-01-06 09:00:00,0.359,
2018-01-06 10:00:00,0.479,
2018-01-06 11:00:00,0.6920000000000001,
2018-01-06 12:00:00,1.214,
2018-01-06 13:00:00,0.8590000000000001,
2018-01-06 14:00:00,1.59,
2018-01-06 15:00:00,0.524,
2018-01-06 16:00:00,1.0590000000000002,
2018-01-06 17:00:00,1.04,
2018-01-06 18:00:00,0.648,
2018-01-06 19:00:00,0.7020000000000001,
2018-01-06 20:00:00,0.94,
2018-01-06 21:00:00,0.775,
2018-01-06 22:00:00,1.609,
2018-01-06 23:00:00,1.7380000000000002,
2018-01-07 00:00:00,1.854,
2018-01-07 01:00:00,1.6640000000000001,
2018-01-07 02:00:00,0.446,
2018-01-07 03:00:00,0.434,
2018-01-07 04:00:00,0.615,
2018-01-07 05:00:00,0.27399999999999997,
2018-01-07 06:00:00,0.282,
2018-01-07 07:00:00,0.515,
2018-01-07 08:00:00,0.28800000000000003,
2018-01-07 09:00:00,0.294,
2018-01-07 10:00:00,0.586,
2018-01-07 11:00:00,0.35700000000000004,
2018-01-07 12:00:00,0.43,
2018-01-07 13:00:00,0.322,
2018-01-07 14:00:00,1.2570000000000001,
2018-01-07 15:00:00,0.37799999999999995,
2018-01-07 16:00:00,1.198,
2018-01-07 17:00:00,1.653,
2018-01-07 18:00:00,0.7909999999999999,
2018-01-07 19:00:00,0.465,
