CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000001720511XQ;02/01/2018;18;0,692;E
ES0021000001720511XQ;02/01/2018;19;0,765;E
ES0021000001720511XQ;02/01/2018;20;0,818;E
ES0021000001720511XQ;02/01/2018;21;0,840;E
ES0021000001720511XQ;02/01/2018;22;0,819;E
ES0021000001720511XQ;02/01/2018;23;0,717;E
ES0021000001720511XQ;02/01/2018;24;0,578;E
ES0021000001720511XQ;03/01/2018;1;0,491;E
ES0021000001720511XQ;03/01/2018;2;0,386;E
ES0021000001720511XQ;03/01/2018;3;0,338;E
ES0021000001720511XQ;03/01/2018;4;0,317;E
ES0021000001720511XQ;03/01/2018;5;0,311;E
ES0021000001720511XQ;03/01/2018;6;0,322;E
ES0021000001720511XQ;03/01/2018;7;0,381;E
ES0021000001720511XQ;03/01/2018;8;0,528;E
ES0021000001720511XQ;03/01/2018;9;0,655;E
ES0021000001720511XQ;03/01/2018;10;0,727;E
ES0021000001720511XQ;03/01/2018;11;0,792;E
ES0021000001720511XQ;03/01/2018;12;0,798;E
ES0021000001720511XQ;03/01/2018;13;0,801;E
ES0021000001720511XQ;03/01/2018;14;0,813;E
ES0021000001720511XQ;03/01/2018;15;0,779;E
ES0021000001720511XQ;03/01/2018;16;0,746;E
ES0021000001720511XQ;03/01/2018;17;0,746;E
ES0021000001720511XQ;03/01/2018;18;0,789;E
ES0021000001720511XQ;03/01/2018;19;0,872;E
ES0021000001720511XQ;03/01/2018;20;0,932;E
ES0021000001720511XQ;03/01/2018;21;0,957;E
ES0021000001720511XQ;03/01/2018;22;0,933;E
ES0021000001720511XQ;03/01/2018;23;0,816;E
ES0021000001720511XQ;03/01/2018;24;0,659;E
ES0021000001720511XQ;04/01/2018;1;0,494;E
ES0021000001720511XQ;04/01/2018;2;0,387;E
ES0021000001720511XQ;04/01/2018;3;0,340;E
ES0021000001720511XQ;04/01/2018;4;0,318;E
ES0021000001720511XQ;04/01/2018;5;0,312;E
ES0021000001720511XQ;04/01/2018;6;0,324;E
ES0021000001720511XQ;04/01/2018;7;0,383;E
ES0021000001720511XQ;04/01/2018;8;0,530;E
ES0021000001720511XQ;04/01/2018;9;0,657;E
ES0021000001720511XQ;04/01/2018;10;0,730;E
ES0021000001720511XQ;04/01/2018;11;0,795;E
ES0021000001720511XQ;04/01/2018;12;0,801;E
ES0021000001720511XQ;04/01/2018;13;0,804;E
ES0021000001720511XQ;04/01/2018;14;0,816;E
ES0021000001720511XQ;04/01/2018;15;0,782;E
ES0021000001720511XQ;04/01/2018;16;0,749;E
ES0021000001720511XQ;04/01/2018;17;0,749;E
ES0021000001720511XQ;04/01/2018;18;0,793;E
ES0021000001720511XQ;04/01/2018;19;0,876;E
ES0021000001720511XQ;04/01/2018;20;0,936;E
ES0021000001720511XQ;04/01/2018;21;0,961;E
ES0021000001720511XQ;04/01/2018;22;0,937;E
ES0021000001720511XQ;04/01/2018;23;0,820;E
ES0021000001720511XQ;04/01/2018;24;0,662;E
ES0021000001720511XQ;05/01/2018;1;0,742;R
ES0021000001720511XQ;05/01/2018;2;0,718;R
ES0021000001720511XQ;05/01/2018;3;0,438;R
ES0021000001720511XQ;05/01/2018;4;0,397;R
ES0021000001720511XQ;05/01/2018;5;0,294;R
ES0021000001720511XQ;05/01/2018;6;0,236;R
ES0021000001720511XQ;05/01/2018;7;0,667;R
ES0021000001720511XQ;05/01/2018;8;0,469;R
ES0021000001720511XQ;05/01/2018;9;0,364;R
ES0021000001720511XQ;05/01/2018;10;0,387;R
ES0021000001720511XQ;05/01/2018;11;0,507;R
ES0021000001720511XQ;05/01/2018;12;0,311;R
ES0021000001720511XQ;05/01/2018;13;0,633;R
ES0021000001720511XQ;05/01/2018;14;1,084;R
ES0021000001720511XQ;05/01/2018;15;1,485;R
ES0021000001720511XQ;05/01/2018;16;1,271;R
ES0021000001720511XQ;05/01/2018;17;0,734;R
ES0021000001720511XQ;05/01/2018;18;0,683;R
ES0021000001720511XQ;05/01/2018;19;0,777;R
ES0021000001720511XQ;05/01/2018;20;1,031;R
ES0021000001720511XQ;05/01/2018;21;0,748;R
ES0021000001720511XQ;05/01/2018;22;0,606;R
ES0021000001720511XQ;05/01/2018;23;0,629;R
ES0021000001720511XQ;05/01/2018;24;0,900;R
ES0021000001720511XQ;06/01/2018;1;0,626;R
ES0021000001720511XQ;06/01/2018;2;0,567;R
ES0021000001720511XQ;06/01/2018;3;0,459;R
ES0021000001720511XQ;06/01/2018;4;0,587;R
ES0021000001720511XQ;06/01/2018;5;0,422;R
ES0021000001720511XQ;06/01/2018;6;0,413;R
ES0021000001720511XQ;06/01/2018;7;0,385;R
ES0021000001720511XQ;06/01/2018;8;0,358;R
ES0021000001720511XQ;06/01/2018;9;0,430;R
ES0021000001720511XQ;06/01/2018;10;0,359;R
ES0021000001720511XQ;06/01/2018;11;0,479;R
ES0021000001720511XQ;06/01/2018;12;0,692;R
ES0021000001720511XQ;06/01/2018;13;1,214;R
ES0021000001720511XQ;06/01/2018;14;0,859;R
ES0021000001720511XQ;06/01/2018;15;1,590;R
ES0021000001720511XQ;06/01/2018;16;0,524;R
ES0021000001720511XQ;06/01/2018;17;1,059;R
ES0021000001720511XQ;06/01/2018;18;1,040;R
ES0021000001720511XQ;06/01/2018;19;0,648;R
ES0021000001720511XQ;06/01/2018;20;0,702;R
ES0021000001720511XQ;06/01/2018;21;0,940;R
ES0021000001720511XQ;06/01/2018;22;0,775;R
ES0021000001720511XQ;06/01/2018;23;1,609;R
ES0021000001720511XQ;06/01/2018;24;1,738;R
ES0021000001720511XQ;07/01/2018;1;1,854;R
ES0021000001720511XQ;07/01/2018;2;1,664;R
ES0021000001720511XQ;07/01/2018;3;0,446;R
ES0021000001720511XQ;07/01/2018;4;0,434;R
ES0021000001720511XQ;07/01/2018;5;0,615;R
ES0021000001720511XQ;07/01/2018;6;0,274;R
ES0021000001720511XQ;07/01/2018;7;0,282;R
ES0021000001720511XQ;07/01/2018;8;0,515;R
ES0021000001720511XQ;07/01/2018;9;0,288;R
ES0021000001720511XQ;07/01/2018;10;0,294;R
ES0021000001720511XQ;07/01/2018;11;0,586;R
ES0021000001720511XQ;07/01/2018;12;0,357;R
ES0021000001720511XQ;07/01/2018;13;0,430;R
ES0021000001720511XQ;07/01/2018;14;0,322;R
ES0021000001720511XQ;07/01/2018;15;1,257;R
ES0021000001720511XQ;07/01/2018;16;0,378;R
ES0021000001720511XQ;07/01/2018;17;1,198;R
ES0021000001720511XQ;07/01/2018;18;1,653;R
ES0021000001720511XQ;07/01/2018;19;0,791;R
ES0021000001720511XQ;07/01/2018;20;0,465;R
ES0021000001720511XQ;07/01/2018;21;0,684;R
ES0021000001720511XQ;07/01/2018;22;0,595;R
ES0021000001720511XQ;07/01/2018;23;1,534;R
ES0021000001720511XQ;07/01/2018;24;1,961;R
ES0021000001720511XQ;08/01/2018;1;1,636;R
ES0021000001720511XQ;08/01/2018;2;0,292;R
ES0021000001720511XQ;08/01/2018;3;0,241;R
ES0021000001720511XQ;08/01/2018;4;0,298;R
ES0021000001720511XQ;08/01/2018;5;0,103;R
ES0021000001720511XQ;08/01/2018;6;0,107;R
ES0021000001720511XQ;08/01/2018;7;0,782;R
ES0021000001720511XQ;08/01/2018;8;0,278;R
ES0021000001720511XQ;08/01/2018;9;0,124;R
ES0021000001720511XQ;08/01/2018;10;0,199;R
ES0021000001720511XQ;08/01/2018;11;2,290;R
ES0021000001720511XQ;08/01/2018;12;3,519;R
ES0021000001720511XQ;08/01/2018;13;2,646;R
ES0021000001720511XQ;08/01/2018;14;2,390;R
ES0021000001720511XQ;08/01/2018;15;1,222;R
ES0021000001720511XQ;08/01/2018;16;1,200;R
ES0021000001720511XQ;08/01/2018;17;0,570;R
ES0021000001720511XQ;08/01/2018;18;0,832;R
ES0021000001720511XQ;08/01/2018;19;1,059;R
ES0021000001720511XQ;08/01/2018;20;1,054;R
ES0021000001720511XQ;08/01/2018;21;0,446;R
ES0021000001720511XQ;08/01/2018;22;1,182;R
ES0021000001720511XQ;08/01/2018;23;2,076;R
ES0021000001720511XQ;08/01/2018;24;2,064;R
ES0021000001720511XQ;09/01/2018;1;0,989;R
ES0021000001720511XQ;09/01/2018;2;0,297;R
ES0021000001720511XQ;09/01/2018;3;0,260;R
ES0021000001720511XQ;09/01/2018;4;0,430;R
ES0021000001720511XQ;09/01/2018;5;0,278;R
ES0021000001720511XQ;09/01/2018;6;0,238;R
ES0021000001720511XQ;09/01/2018;7;0,520;R
ES0021000001720511XQ;09/01/2018;8;0,303;R
ES0021000001720511XQ;09/01/2018;9;1,074;R
ES0021000001720511XQ;09/01/2018;10;1,160;R
ES0021000001720511XQ;09/01/2018;11;2,737;R
ES0021000001720511XQ;09/01/2018;12;2,039;R
ES0021000001720511XQ;09/01/2018;13;1,395;R
ES0021000001720511XQ;09/01/2018;14;0,847;R
ES0021000001720511XQ;09/01/2018;15;1,435;R
ES0021000001720511XQ;09/01/2018;16;0,745;R
ES0021000001720511XQ;09/01/2018;17;0,300;R
ES0021000001720511XQ;09/01/2018;18;0,473;R
ES0021000001720511XQ;09/01/2018;19;0,365;R
ES0021000001720511XQ;09/01/2018;20;0,570;R
ES0021000001720511XQ;09/01/2018;21;0,821;R
ES0021000001720511XQ;09/01/2018;22;2,050;R
ES0021000001720511XQ;09/01/2018;23;2,436;R
ES0021000001720511XQ;09/01/2018;24;1,754;R
ES0021000001720511XQ;10/01/2018;1;0,519;E
ES0021000001720511XQ;10/01/2018;2;0,407;E
ES0021000001720511XQ;10/01/2018;3;0,357;E
ES0021000001720511XQ;10/01/2018;4;0,334;E
ES0021000001720511XQ;10/01/2018;5;0,328;E
ES0021000001720511XQ;10/01/2018;6;0,340;E
ES0021000001720511XQ;10/01/2018;7;0,402;E
ES0021000001720511XQ;10/01/2018;8;0,558;E
ES0021000001720511XQ;10/01/2018;9;0,691;E
ES0021000001720511XQ;10/01/2018;10;0,767;E
ES0021000001720511XQ;10/01/2018;11;0,836;E
ES0021000001720511XQ;10/01/2018;12;0,841;E
ES0021000001720511XQ;10/01/2018;13;0,845;E
ES0021000001720511XQ;10/01/2018;14;0,857;E
ES0021000001720511XQ;10/01/2018;15;0,822;E
ES0021000001720511XQ;10/01/2018;16;0,787;E
ES0021000001720511XQ;10/01/2018;17;0,788;E
ES0021000001720511XQ;10/01/2018;18;0,833;E
ES0021000001720511XQ;10/01/2018;19;0,920;E
ES0021000001720511XQ;10/01/2018;20;0,983;E
ES0021000001720511XQ;10/01/2018;21;1,010;E
ES0021000001720511XQ;10/01/2018;22;0,985;E
ES0021000001720511XQ;10/01/2018;23;0,861;E
ES0021000001720511XQ;10/01/2018;24;0,695;E
ES0021000001720511XQ;11/01/2018;1;0,296;R
ES0021000001720511XQ;11/01/2018;2;0,240;R
ES0021000001720511XQ;11/01/2018;3;0,236;R
ES0021000001720511XQ;11/01/2018;4;0,456;R
ES0021000001720511XQ;11/01/2018;5;0,159;R
ES0021000001720511XQ;11/01/2018;6;0,123;R
ES0021000001720511XQ;11/01/2018;7;0,433;R
ES0021000001720511XQ;11/01/2018;8;0,597;R
ES0021000001720511XQ;11/01/2018;9;0,135;R
ES0021000001720511XQ;11/01/2018;10;0,096;R
ES0021000001720511XQ;11/01/2018;11;0,095;R
ES0021000001720511XQ;11/01/2018;12;0,341;R
ES0021000001720511XQ;11/01/2018;13;0,116;R
ES0021000001720511XQ;11/01/2018;14;0,093;R
ES0021000001720511XQ;11/01/2018;15;0,095;R
ES0021000001720511XQ;11/01/2018;16;0,571;R
ES0021000001720511XQ;11/01/2018;17;0,760;R
ES0021000001720511XQ;11/01/2018;18;0,987;R
ES0021000001720511XQ;11/01/2018;19;1,207;R
ES0021000001720511XQ;11/01/2018;20;1,391;R
ES0021000001720511XQ;11/01/2018;21;1,291;R
ES0021000001720511XQ;11/01/2018;22;1,109;R
ES0021000001720511XQ;11/01/2018;23;1,061;R
ES0021000001720511XQ;11/01/2018;24;1,037;R
ES0021000001720511XQ;12/01/2018;1;0,543;E
ES0021000001720511XQ;12/01/2018;2;0,428;E
ES0021000001720511XQ;12/01/2018;3;0,373;E
ES0021000001720511XQ;12/01/2018;4;0,348;E
ES0021000001720511XQ;12/01/2018;5;0,341;E
ES0021000001720511XQ;12/01/2018;6;0,352;E
ES0021000001720511XQ;12/01/2018;7;0,416;E
ES0021000001720511XQ;12/01/2018;8;0,572;E
ES0021000001720511XQ;12/01/2018;9;0,711;E
ES0021000001720511XQ;12/01/2018;10;0,789;E
ES0021000001720511XQ;12/01/2018;11;0,864;E
ES0021000001720511XQ;12/01/2018;12;0,874;E
ES0021000001720511XQ;12/01/2018;13;0,876;E
ES0021000001720511XQ;12/01/2018;14;0,885;E
ES0021000001720511XQ;12/01/2018;15;0,851;E
ES0021000001720511XQ;12/01/2018;16;0,820;E
ES0021000001720511XQ;12/01/2018;17;0,819;E
ES0021000001720511XQ;12/01/2018;18;0,857;E
ES0021000001720511XQ;12/01/2018;19;0,932;E
ES0021000001720511XQ;12/01/2018;20;0,981;E
ES0021000001720511XQ;12/01/2018;21;0,988;E
ES0021000001720511XQ;12/01/2018;22;0,975;E
ES0021000001720511XQ;12/01/2018;23;0,876;E
ES0021000001720511XQ;12/01/2018;24;0,739;E
ES0021000001720511XQ;13/01/2018;1;1,638;R
ES0021000001720511XQ;13/01/2018;2;0,367;R
ES0021000001720511XQ;13/01/2018;3;0,239;R
ES0021000001720511XQ;13/01/2018;4;0,235;R
ES0021000001720511XQ;13/01/2018;5;0,310;R
ES0021000001720511XQ;13/01/2018;6;0,158;R
ES0021000001720511XQ;13/01/2018;7;0,127;R
ES0021000001720511XQ;13/01/2018;8;0,144;R
ES0021000001720511XQ;13/01/2018;9;0,379;R
ES0021000001720511XQ;13/01/2018;10;0,282;R
ES0021000001720511XQ;13/01/2018;11;0,423;R
ES0021000001720511XQ;13/01/2018;12;1,138;R
ES0021000001720511XQ;13/01/2018;13;0,369;R
ES0021000001720511XQ;13/01/2018;14;4,024;R
ES0021000001720511XQ;13/01/2018;15;5,191;R
ES0021000001720511XQ;13/01/2018;16;2,921;R
ES0021000001720511XQ;13/01/2018;17;4,340;R
ES0021000001720511XQ;13/01/2018;18;4,238;R
ES0021000001720511XQ;13/01/2018;19;3,063;R
ES0021000001720511XQ;13/01/2018;20;3,362;R
ES0021000001720511XQ;13/01/2018;21;3,414;R
ES0021000001720511XQ;13/01/2018;22;4,358;R
ES0021000001720511XQ;13/01/2018;23;3,726;R
ES0021000001720511XQ;13/01/2018;24;1,823;R
ES0021000001720511XQ;14/01/2018;1;1,400;R
ES0021000001720511XQ;14/01/2018;2;0,913;R
ES0021000001720511XQ;14/01/2018;3;0,395;R
ES0021000001720511XQ;14/01/2018;4;0,551;R
ES0021000001720511XQ;14/01/2018;5;0,480;R
ES0021000001720511XQ;14/01/2018;6;0,372;R
ES0021000001720511XQ;14/01/2018;7;0,334;R
ES0021000001720511XQ;14/01/2018;8;0,379;R
ES0021000001720511XQ;14/01/2018;9;0,333;R
ES0021000001720511XQ;14/01/2018;10;0,467;R
ES0021000001720511XQ;14/01/2018;11;1,324;R
ES0021000001720511XQ;14/01/2018;12;1,449;R
ES0021000001720511XQ;14/01/2018;13;2,635;R
ES0021000001720511XQ;14/01/2018;14;2,339;R
ES0021000001720511XQ;14/01/2018;15;3,060;R
ES0021000001720511XQ;14/01/2018;16;1,425;R
ES0021000001720511XQ;14/01/2018;17;1,278;R
ES0021000001720511XQ;14/01/2018;18;0,537;R
ES0021000001720511XQ;14/01/2018;19;0,686;R
ES0021000001720511XQ;14/01/2018;20;0,681;R
ES0021000001720511XQ;14/01/2018;21;0,868;R
ES0021000001720511XQ;14/01/2018;22;1,317;R
ES0021000001720511XQ;14/01/2018;23;1,504;R
ES0021000001720511XQ;14/01/2018;24;1,506;R
ES0021000001720511XQ;15/01/2018;1;0,937;R
ES0021000001720511XQ;15/01/2018;2;0,363;R
ES0021000001720511XQ;15/01/2018;3;0,362;R
ES0021000001720511XQ;15/01/2018;4;0,363;R
ES0021000001720511XQ;15/01/2018;5;0,623;R
ES0021000001720511XQ;15/01/2018;6;0,362;R
ES0021000001720511XQ;15/01/2018;7;0,580;R
ES0021000001720511XQ;15/01/2018;8;0,382;R
ES0021000001720511XQ;15/01/2018;9;0,534;R
ES0021000001720511XQ;15/01/2018;10;0,355;R
ES0021000001720511XQ;15/01/2018;11;0,499;R
ES0021000001720511XQ;15/01/2018;12;0,466;R
ES0021000001720511XQ;15/01/2018;13;0,629;R
ES0021000001720511XQ;15/01/2018;14;0,412;R
ES0021000001720511XQ;15/01/2018;15;0,462;R
ES0021000001720511XQ;15/01/2018;16;0,715;R
ES0021000001720511XQ;15/01/2018;17;1,119;R
ES0021000001720511XQ;15/01/2018;18;0,878;R
ES0021000001720511XQ;15/01/2018;19;0,973;R
ES0021000001720511XQ;15/01/2018;20;0,585;R
ES0021000001720511XQ;15/01/2018;21;0,799;R
ES0021000001720511XQ;15/01/2018;22;1,562;R
ES0021000001720511XQ;15/01/2018;23;1,426;R
ES0021000001720511XQ;15/01/2018;24;1,176;R
ES0021000001720511XQ;16/01/2018;1;0,695;R
ES0021000001720511XQ;16/01/2018;2;0,401;R
ES0021000001720511XQ;16/01/2018;3;0,366;R
ES0021000001720511XQ;16/01/2018;4;0,358;R
ES0021000001720511XQ;16/01/2018;5;0,356;R
ES0021000001720511XQ;16/01/2018;6;0,557;R
ES0021000001720511XQ;16/01/2018;7;0,617;R
ES0021000001720511XQ;16/01/2018;8;0,425;R
ES0021000001720511XQ;16/01/2018;9;0,432;R
ES0021000001720511XQ;16/01/2018;10;0,611;R
ES0021000001720511XQ;16/01/2018;11;0,414;R
ES0021000001720511XQ;16/01/2018;12;0,426;R
ES0021000001720511XQ;16/01/2018;13;0,410;R
ES0021000001720511XQ;16/01/2018;14;0,470;R
ES0021000001720511XQ;16/01/2018;15;0,780;R
ES0021000001720511XQ;16/01/2018;16;0,676;R
ES0021000001720511XQ;16/01/2018;17;0,895;R
ES0021000001720511XQ;16/01/2018;18;0,896;R
ES0021000001720511XQ;16/01/2018;19;0,782;R
ES0021000001720511XQ;16/01/2018;20;1,002;R
ES0021000001720511XQ;16/01/2018;21;2,188;R
ES0021000001720511XQ;16/01/2018;22;2,022;R
ES0021000001720511XQ;16/01/2018;23;0,652;R
ES0021000001720511XQ;16/01/2018;24;0,571;R
ES0021000001720511XQ;17/01/2018;1;0,430;R
ES0021000001720511XQ;17/01/2018;2;0,370;R
ES0021000001720511XQ;17/01/2018;3;0,365;R
ES0021000001720511XQ;17/01/2018;4;0,565;R
ES0021000001720511XQ;17/01/2018;5;0,383;R
ES0021000001720511XQ;17/01/2018;6;0,373;R
ES0021000001720511XQ;17/01/2018;7;0,487;R
ES0021000001720511XQ;17/01/2018;8;0,634;R
ES0021000001720511XQ;17/01/2018;9;0,239;R
ES0021000001720511XQ;17/01/2018;10;0,127;R
ES0021000001720511XQ;17/01/2018;11;0,153;R
ES0021000001720511XQ;17/01/2018;12;0,164;R
ES0021000001720511XQ;17/01/2018;13;0,236;R
ES0021000001720511XQ;17/01/2018;14;0,097;R
ES0021000001720511XQ;17/01/2018;15;0,145;R
ES0021000001720511XQ;17/01/2018;16;0,435;R
ES0021000001720511XQ;17/01/2018;17;0,578;R
ES0021000001720511XQ;17/01/2018;18;0,341;R
ES0021000001720511XQ;17/01/2018;19;0,389;R
ES0021000001720511XQ;17/01/2018;20;0,407;R
ES0021000001720511XQ;17/01/2018;21;0,457;R
ES0021000001720511XQ;17/01/2018;22;0,571;R
ES0021000001720511XQ;17/01/2018;23;1,295;R
ES0021000001720511XQ;17/01/2018;24;0,886;R
ES0021000001720511XQ;18/01/2018;1;1,030;R
ES0021000001720511XQ;18/01/2018;2;0,247;R
ES0021000001720511XQ;18/01/2018;3;0,245;R
ES0021000001720511XQ;18/01/2018;4;0,293;R
ES0021000001720511XQ;18/01/2018;5;0,263;R
ES0021000001720511XQ;18/01/2018;6;0,329;R
ES0021000001720511XQ;18/01/2018;7;0,367;R
ES0021000001720511XQ;18/01/2018;8;0,333;R
ES0021000001720511XQ;18/01/2018;9;0,400;R
ES0021000001720511XQ;18/01/2018;10;0,354;R
ES0021000001720511XQ;18/01/2018;11;0,098;R
ES0021000001720511XQ;18/01/2018;12;0,137;R
ES0021000001720511XQ;18/01/2018;13;0,197;R
ES0021000001720511XQ;18/01/2018;14;0,442;R
ES0021000001720511XQ;18/01/2018;15;0,518;R
ES0021000001720511XQ;18/01/2018;16;0,438;R
ES0021000001720511XQ;18/01/2018;17;0,382;R
ES0021000001720511XQ;18/01/2018;18;0,267;R
ES0021000001720511XQ;18/01/2018;19;0,518;R
ES0021000001720511XQ;18/01/2018;20;0,334;R
ES0021000001720511XQ;18/01/2018;21;0,447;R
ES0021000001720511XQ;18/01/2018;22;0,710;R
ES0021000001720511XQ;18/01/2018;23;0,627;R
ES0021000001720511XQ;18/01/2018;24;0,474;R
ES0021000001720511XQ;19/01/2018;1;0,264;R
ES0021000001720511XQ;19/01/2018;2;0,234;R
ES0021000001720511XQ;19/01/2018;3;0,500;R
ES0021000001720511XQ;19/01/2018;4;0,287;R
ES0021000001720511XQ;19/01/2018;5;0,130;R
ES0021000001720511XQ;19/01/2018;6;0,110;R
ES0021000001720511XQ;19/01/2018;7;0,341;R
ES0021000001720511XQ;19/01/2018;8;0,510;R
ES0021000001720511XQ;19/01/2018;9;0,352;R
ES0021000001720511XQ;19/01/2018;10;0,272;R
ES0021000001720511XQ;19/01/2018;11;0,694;R
ES0021000001720511XQ;19/01/2018;12;0,474;R
ES0021000001720511XQ;19/01/2018;13;0,360;R
ES0021000001720511XQ;19/01/2018;14;1,953;R
ES0021000001720511XQ;19/01/2018;15;1,164;R
ES0021000001720511XQ;19/01/2018;16;1,023;R
ES0021000001720511XQ;19/01/2018;17;2,031;R
ES0021000001720511XQ;19/01/2018;18;0,852;R
ES0021000001720511XQ;19/01/2018;19;0,556;R
ES0021000001720511XQ;19/01/2018;20;0,511;R
ES0021000001720511XQ;19/01/2018;21;0,363;R
ES0021000001720511XQ;19/01/2018;22;1,917;R
ES0021000001720511XQ;19/01/2018;23;2,471;R
ES0021000001720511XQ;19/01/2018;24;0,597;R
ES0021000001720511XQ;20/01/2018;1;0,505;R
ES0021000001720511XQ;20/01/2018;2;0,360;R
ES0021000001720511XQ;20/01/2018;3;0,249;R
ES0021000001720511XQ;20/01/2018;4;0,284;R
ES0021000001720511XQ;20/01/2018;5;0,283;R
ES0021000001720511XQ;20/01/2018;6;0,285;R
ES0021000001720511XQ;20/01/2018;7;0,131;R
ES0021000001720511XQ;20/01/2018;8;0,354;R
ES0021000001720511XQ;20/01/2018;9;0,337;R
ES0021000001720511XQ;20/01/2018;10;1,119;R
ES0021000001720511XQ;20/01/2018;11;0,596;R
ES0021000001720511XQ;20/01/2018;12;1,413;R
ES0021000001720511XQ;20/01/2018;13;2,622;R
ES0021000001720511XQ;20/01/2018;14;1,639;R
ES0021000001720511XQ;20/01/2018;15;2,876;R
ES0021000001720511XQ;20/01/2018;16;0,704;R
ES0021000001720511XQ;20/01/2018;17;2,826;R
ES0021000001720511XQ;20/01/2018;18;2,348;R
ES0021000001720511XQ;20/01/2018;19;0,764;R
ES0021000001720511XQ;20/01/2018;20;0,857;R
ES0021000001720511XQ;20/01/2018;21;0,658;R
ES0021000001720511XQ;20/01/2018;22;1,029;R
ES0021000001720511XQ;20/01/2018;23;0,666;R
ES0021000001720511XQ;20/01/2018;24;0,735;R
ES0021000001720511XQ;21/01/2018;1;0,973;E
ES0021000001720511XQ;21/01/2018;2;0,807;E
ES0021000001720511XQ;21/01/2018;3;0,689;E
ES0021000001720511XQ;21/01/2018;4;0,616;E
ES0021000001720511XQ;21/01/2018;5;0,577;E
ES0021000001720511XQ;21/01/2018;6;0,565;E
ES0021000001720511XQ;21/01/2018;7;0,582;E
ES0021000001720511XQ;21/01/2018;8;0,624;E
ES0021000001720511XQ;21/01/2018;9;0,727;E
ES0021000001720511XQ;21/01/2018;10;0,925;E
ES0021000001720511XQ;21/01/2018;11;1,123;E
ES0021000001720511XQ;21/01/2018;12;1,230;E
ES0021000001720511XQ;21/01/2018;13;1,273;E
ES0021000001720511XQ;21/01/2018;14;1,317;E
ES0021000001720511XQ;21/01/2018;15;1,307;E
ES0021000001720511XQ;21/01/2018;16;1,184;E
ES0021000001720511XQ;21/01/2018;17;1,124;E
ES0021000001720511XQ;21/01/2018;18;1,146;E
ES0021000001720511XQ;21/01/2018;19;1,302;E
ES0021000001720511XQ;21/01/2018;20;1,421;E
ES0021000001720511XQ;21/01/2018;21;1,511;E
ES0021000001720511XQ;21/01/2018;22;1,524;E
ES0021000001720511XQ;21/01/2018;23;1,347;E
ES0021000001720511XQ;21/01/2018;24;1,106;E
ES0021000001720511XQ;22/01/2018;1;2,454;R
ES0021000001720511XQ;22/01/2018;2;0,421;R
ES0021000001720511XQ;22/01/2018;3;0,366;R
ES0021000001720511XQ;22/01/2018;4;0,370;R
ES0021000001720511XQ;22/01/2018;5;0,359;R
ES0021000001720511XQ;22/01/2018;6;0,359;R
ES0021000001720511XQ;22/01/2018;7;1,242;R
ES0021000001720511XQ;22/01/2018;8;0,791;R
ES0021000001720511XQ;22/01/2018;9;0,988;R
ES0021000001720511XQ;22/01/2018;10;0,281;R
ES0021000001720511XQ;22/01/2018;11;0,284;R
ES0021000001720511XQ;22/01/2018;12;0,279;R
