CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000001720511XQ;01/01/2018;0;0,486;E
ES0021000001720511XQ;01/01/2018;1;0,403;E
ES0021000001720511XQ;01/01/2018;5;0,344;E
ES0021000001720511XQ;01/01/2018;3;0,308;E
ES0021000001720511XQ;01/01/2018;4;0,288;E
ES0021000001720511XQ;01/01/2018;5;0,282;E
ES0021000001720511XQ;01/01/2018;6;0,29;E
ES0021000001720511XQ;01/01/2018;7;0,311;E
ES0021000001720511XQ;01/01/2018;8;0,362;E
ES0021000001720511XQ;01/01/2018;9;0,461;E
ES0021000001720511XQ;01/01/2018;10;0,559;E
ES0021000001720511XQ;01/01/2018;11;0,612;E
ES0021000001720511XQ;01/01/2018;12;0,634;E
ES0021000001720511XQ;01/01/2018;13;0,656;E
ES0021000001720511XQ;01/01/2018;14;0,652;E
ES0021000001720511XQ;01/01/2018;15;0,59;E
ES0021000001720511XQ;01/01/2018;16;0,56;E
ES0021000001720511XQ;01/01/2018;17;0,572;E
ES0021000001720511XQ;01/01/2018;18;0,65;E
ES0021000001720511XQ;01/01/2018;19;0,709;E
ES0021000001720511XQ;01/01/2018;20;0,754;E
ES0021000001720511XQ;01/01/2018;21;0,76;E
ES0021000001720511XQ;01/01/2018;22;0,672;E
ES0021000001720511XQ;01/01/2018;23;0,552;E
ES0021000001720511XQ;02/01/2018;0;0,43;E
ES0021000001720511XQ;02/01/2018;1;0,337;E
ES0021000001720511XQ;02/01/2018;2;0,296;E
ES0021000001720511XQ;02/01/2018;3;0,277;E
ES0021000001720511XQ;02/01/2018;4;0,272;E
ES0021000001720511XQ;02/01/2018;5;0,282;E
ES0021000001720511XQ;02/01/2018;5;0,334;E
ES0021000001720511XQ;02/01/2018;7;0,462;E
ES0021000001720511XQ;02/01/2018;8;0,573;E
ES0021000001720511XQ;02/01/2018;9;0,637;E
ES0021000001720511XQ;02/01/2018;10;0,694;E
ES0021000001720511XQ;02/01/2018;11;0,699;E
ES0021000001720511XQ;02/01/2018;12;0,702;E
ES0021000001720511XQ;02/01/2018;13;0,713;E
ES0021000001720511XQ;02/01/2018;14;0,683;E
ES0021000001720511XQ;02/01/2018;15;0,654;E
ES0021000001720511XQ;02/01/2018;16;0,654;E
ES0021000001720511XQ;02/01/2018;17;0,692;E
ES0021000001720511XQ;02/01/2018;18;0,765;E
ES0021000001720511XQ;02/01/2018;19;0,818;E
ES0021000001720511XQ;02/01/2018;20;0,84;E
ES0021000001720511XQ;02/01/2018;21;0,819;E
ES0021000001720511XQ;02/01/2018;22;0,717;E
ES0021000001720511XQ;02/01/2018;23;0,578;E
ES0021000001720511XQ;03/01/2018;0;0,491;E
ES0021000001720511XQ;03/01/2018;1;0,386;E
ES0021000001720511XQ;03/01/2018;2;0,338;E
ES0021000001720511XQ;03/01/2018;3;0,317;E
ES0021000001720511XQ;03/01/2018;4;0,311;E
ES0021000001720511XQ;03/01/2018;5;0,322;E
ES0021000001720511XQ;03/01/2018;6;0,381;E
ES0021000001720511XQ;03/01/2018;7;0,528;E
ES0021000001720511XQ;03/01/2018;8;0,655;E
ES0021000001720511XQ;03/01/2018;9;0,727;E
ES0021000001720511XQ;03/01/2018;10;0,792;E
ES0021000001720511XQ;03/01/2018;11;0,798;E
ES0021000001720511XQ;03/01/2018;12;0,801;E
ES0021000001720511XQ;03/01/2018;13;0,813;E
ES0021000001720511XQ;03/01/2018;14;0,779;E
ES0021000001720511XQ;03/01/2018;15;0,746;E
ES0021000001720511XQ;03/01/2018;16;0,746;E
ES0021000001720511XQ;03/01/2018;17;0,789;E
ES0021000001720511XQ;03/01/2018;18;0,872;E
ES0021000001720511XQ;03/01/2018;19;0,932;E
ES0021000001720511XQ;03/01/2018;20;0,957;E
ES0021000001720511XQ;03/01/2018;21;0,933;E
ES0021000001720511XQ;03/01/2018;22;0,816;E
ES0021000001720511XQ;03/01/2018;23;0,659;E
ES0021000001720511XQ;04/01/2018;0;0,494;E
ES0021000001720511XQ;04/01/2018;1;0,387;E
ES0021000001720511XQ;04/01/2018;2;0,34;E
ES0021000001720511XQ;04/01/2018;3;0,318;E
ES0021000001720511XQ;04/01/2018;4;0,312;E
ES0021000001720511XQ;04/01/2018;5;0,324;E
ES0021000001720511XQ;04/01/2018;6;0,383;E
ES0021000001720511XQ;04/01/2018;7;0,53;E
ES0021000001720511XQ;04/01/2018;8;0,657;E
ES0021000001720511XQ;04/01/2018;9;0,73;E
ES0021000001720511XQ;04/01/2018;10;0,795;E
ES0021000001720511XQ;04/01/2018;11;0,801;E
ES0021000001720511XQ;04/01/2018;12;0,804;E
ES0021000001720511XQ;04/01/2018;13;0,816;E
ES0021000001720511XQ;04/01/2018;14;0,782;E
ES0021000001720511XQ;04/01/2018;15;0,749;E
ES0021000001720511XQ;04/01/2018;16;0,749;E
ES0021000001720511XQ;04/01/2018;17;0,793;E
ES0021000001720511XQ;04/01/2018;18;0,876;E
ES0021000001720511XQ;04/01/2018;19;0,936;E
ES0021000001720511XQ;04/01/2018;20;0,961;E
ES0021000001720511XQ;04/01/2018;21;0,937;E
ES0021000001720511XQ;04/01/2018;22;0,82;E
ES0021000001720511XQ;04/01/2018;23;0,662;E
ES0021000001720511XQ;05/01/2018;0;0,742;R
ES0021000001720511XQ;05/01/2018;1;0,718;R
ES0021000001720511XQ;05/01/2018;2;0,438;R
ES0021000001720511XQ;05/01/2018;3;0,397;R
ES0021000001720511XQ;05/01/2018;4;0,294;R
ES0021000001720511XQ;05/01/2018;5;0,236;R
ES0021000001720511XQ;05/01/2018;6;0,667;R
ES0021000001720511XQ;05/01/2018;7;0,469;R
ES0021000001720511XQ;05/01/2018;8;0,364;R
ES0021000001720511XQ;05/01/2018;9;0,387;R
ES0021000001720511XQ;05/01/2018;10;0,507;R
ES0021000001720511XQ;05/01/2018;11;0,311;R
ES0021000001720511XQ;05/01/2018;12;0,633;R
ES0021000001720511XQ;05/01/2018;13;1,084;R
ES0021000001720511XQ;05/01/2018;14;1,485;R
ES0021000001720511XQ;05/01/2018;15;1,271;R
ES0021000001720511XQ;05/01/2018;16;0,734;R
ES0021000001720511XQ;05/01/2018;17;0,683;R
ES0021000001720511XQ;05/01/2018;18;0,777;R
ES0021000001720511XQ;05/01/2018;19;1,031;R
ES0021000001720511XQ;05/01/2018;20;0,748;R
ES0021000001720511XQ;05/01/2018;21;0,606;R
ES0021000001720511XQ;05/01/2018;22;0,629;R
ES0021000001720511XQ;05/01/2018;23;0,9;R
ES0021000001720511XQ;06/01/2018;0;0,626;R
ES0021000001720511XQ;06/01/2018;1;0,567;R
ES0021000001720511XQ;06/01/2018;2;0,459;R
ES0021000001720511XQ;06/01/2018;3;0,587;R
ES0021000001720511XQ;06/01/2018;4;0,422;R
ES0021000001720511XQ;06/01/2018;5;0,413;R
ES0021000001720511XQ;06/01/2018;6;0,385;R
ES0021000001720511XQ;06/01/2018;7;0,358;R
ES0021000001720511XQ;06/01/2018;8;0,43;R
ES0021000001720511XQ;06/01/2018;9;0,359;R
ES0021000001720511XQ;06/01/2018;10;0,479;R
ES0021000001720511XQ;06/01/2018;11;0,692;R
ES0021000001720511XQ;06/01/2018;12;1,214;R
ES0021000001720511XQ;06/01/2018;13;0,859;R
ES0021000001720511XQ;06/01/2018;14;1,59;R
ES0021000001720511XQ;06/01/2018;15;0,524;R
ES0021000001720511XQ;06/01/2018;16;1,059;R
ES0021000001720511XQ;06/01/2018;17;1,04;R
ES0021000001720511XQ;06/01/2018;18;0,648;R
ES0021000001720511XQ;06/01/2018;19;0,702;R
ES0021000001720511XQ;06/01/2018;20;0,94;R
ES0021000001720511XQ;06/01/2018;21;0,775;R
ES0021000001720511XQ;06/01/2018;22;1,609;R
ES0021000001720511XQ;06/01/2018;23;1,738;R
ES0021000001720511XQ;07/01/2018;0;1,854;R
ES0021000001720511XQ;07/01/2018;1;1,664;R
ES0021000001720511XQ;07/01/2018;2;0,446;R
ES0021000001720511XQ;07/01/2018;3;0,434;R
ES0021000001720511XQ;07/01/2018;4;0,615;R
ES0021000001720511XQ;07/01/2018;5;0,274;R
ES0021000001720511XQ;07/01/2018;6;0,282;R
ES0021000001720511XQ;07/01/2018;7;0,515;R
ES0021000001720511XQ;07/01/2018;8;0,288;R
ES0021000001720511XQ;07/01/2018;9;0,294;R
ES0021000001720511XQ;07/01/2018;10;0,586;R
ES0021000001720511XQ;07/01/2018;11;0,357;R
ES0021000001720511XQ;07/01/2018;12;0,43;R
ES0021000001720511XQ;07/01/2018;13;0,322;R
ES0021000001720511XQ;07/01/2018;14;1,257;R
ES0021000001720511XQ;07/01/2018;15;0,378;R
ES0021000001720511XQ;07/01/2018;16;1,198;R
ES0021000001720511XQ;07/01/2018;17;1,653;R
ES0021000001720511XQ;07/01/2018;18;0,791;R
ES0021000001720511XQ;07/01/2018;19;0,465;R
ES0021000001720511XQ;07/01/2018;20;0,684;R
ES0021000001720511XQ;07/01/2018;21;0,595;R
ES0021000001720511XQ;07/01/2018;22;1,534;R
ES0021000001720511XQ;07/01/2018;23;1,961;R
