Fecha,Fecha,Consumo_kWh
2018-03-04 07:00:00,2018-03-04 07:00:00,0.5463573686728936
2018-03-04 08:00:00,2018-03-04 08:00:00,0.4874002396995104
2018-03-04 09:00:00,2018-03-04 09:00:00,0.7021321547498962
2018-03-04 10:00:00,2018-03-04 10:00:00,0.9427128485291724
2018-03-04 11:00:00,2018-03-04 11:00:00,0.8993758970700702
2018-03-04 12:00:00,2018-03-04 12:00:00,0.9357800152356816
2018-03-04 13:00:00,2018-03-04 13:00:00,0.9585552272447226
2018-03-04 14:00:00,2018-03-04 14:00:00,0.997985693364798
2018-03-04 15:00:00,2018-03-04 15:00:00,0.84176022489953
2018-03-04 16:00:00,2018-03-04 16:00:00,0.9409530684487915
2018-03-04 17:00:00,2018-03-04 17:00:00,0.6824892561129665
2018-03-04 18:00:00,2018-03-04 18:00:00,0.7057996087558177
2018-03-04 19:00:00,2018-03-04 19:00:00,0.7983373973043371
2018-03-04 20:00:00,2018-03-04 20:00:00,0.9887487283394896
2018-03-04 21:00:00,2018-03-04 21:00:00,1.042482447978886
2018-03-04 22:00:00,2018-03-04 22:00:00,0.9787310134780952
2018-03-04 23:00:00,2018-03-04 23:00:00,0.8173502334098645
2018-03-05 00:00:00,2018-03-05 00:00:00,0.7776840893242895
2018-03-05 01:00:00,2018-03-05 01:00:00,0.9220696503812063
2018-03-05 02:00:00,2018-03-05 02:00:00,0.27118035360308723
2018-03-05 03:00:00,2018-03-05 03:00:00,0.27781653318958244
2018-03-05 04:00:00,2018-03-05 04:00:00,0.2724784799245129
2018-03-05 05:00:00,2018-03-05 05:00:00,0.2575038517520651
2018-03-05 06:00:00,2018-03-05 06:00:00,0.9435073772306845
2018-03-05 07:00:00,2018-03-05 07:00:00,1.070608975359275
2018-03-05 08:00:00,2018-03-05 08:00:00,0.7828321395065221
2018-03-05 09:00:00,2018-03-05 09:00:00,0.43988160003005194
2018-03-05 10:00:00,2018-03-05 10:00:00,0.4772283649278246
2018-03-05 11:00:00,2018-03-05 11:00:00,0.6023502397008093
2018-03-05 12:00:00,2018-03-05 12:00:00,0.7101051721113989
2018-03-05 13:00:00,2018-03-05 13:00:00,0.8937360925063681
2018-03-05 14:00:00,2018-03-05 14:00:00,0.8424668750875317
2018-03-05 15:00:00,2018-03-05 15:00:00,0.6138629087723309
2018-03-05 16:00:00,2018-03-05 16:00:00,1.7954626331269412
2018-03-05 17:00:00,2018-03-05 17:00:00,0.7349999762459629
2018-03-05 18:00:00,2018-03-05 18:00:00,0.9692370872261066
2018-03-05 19:00:00,2018-03-05 19:00:00,0.8983908300633147
2018-03-05 20:00:00,2018-03-05 20:00:00,0.7737066958788
2018-03-05 21:00:00,2018-03-05 21:00:00,0.928173837605968
2018-03-05 22:00:00,2018-03-05 22:00:00,1.9666953131640734
2018-03-05 23:00:00,2018-03-05 23:00:00,1.5646496890312127
2018-03-06 00:00:00,2018-03-06 00:00:00,0.9243782913244735
2018-03-06 01:00:00,2018-03-06 01:00:00,0.3785129237870473
2018-03-06 02:00:00,2018-03-06 02:00:00,0.36646034959376195
2018-03-06 03:00:00,2018-03-06 03:00:00,0.37921893641070525
2018-03-06 04:00:00,2018-03-06 04:00:00,0.3678066537288147
2018-03-06 05:00:00,2018-03-06 05:00:00,0.36740577430119215
2018-03-06 06:00:00,2018-03-06 06:00:00,0.682306874642514
2018-03-06 07:00:00,2018-03-06 07:00:00,0.550785391016934
2018-03-06 08:00:00,2018-03-06 08:00:00,0.607577931551697
2018-03-06 09:00:00,2018-03-06 09:00:00,0.8565067686649287
2018-03-06 10:00:00,2018-03-06 10:00:00,0.9751781543798852
2018-03-06 11:00:00,2018-03-06 11:00:00,0.9696462805725105
2018-03-06 12:00:00,2018-03-06 12:00:00,1.0380610656346416
2018-03-06 13:00:00,2018-03-06 13:00:00,0.99381728238454
2018-03-06 14:00:00,2018-03-06 14:00:00,1.0293933606392862
2018-03-06 15:00:00,2018-03-06 15:00:00,0.9499543434718396
2018-03-06 16:00:00,2018-03-06 16:00:00,0.9668256428604356
2018-03-06 17:00:00,2018-03-06 17:00:00,0.8182268977603127
2018-03-06 18:00:00,2018-03-06 18:00:00,0.8223864739129386
2018-03-06 19:00:00,2018-03-06 19:00:00,0.8944080660028307
2018-03-06 20:00:00,2018-03-06 20:00:00,1.0890660448675393
2018-03-06 21:00:00,2018-03-06 21:00:00,1.1831643051395808
2018-03-06 22:00:00,2018-03-06 22:00:00,1.038054649251397
2018-03-06 23:00:00,2018-03-06 23:00:00,0.93692387838626
2018-03-07 00:00:00,2018-03-07 00:00:00,0.8828006326945634
