,Fecha,Consumo_kWh
2018-03-04 07:00:00,2018-03-04 07:00:00,0.6366122775218002
2018-03-04 08:00:00,2018-03-04 08:00:00,0.6383598038231584
2018-03-04 09:00:00,2018-03-04 09:00:00,0.7150663818959989
2018-03-04 10:00:00,2018-03-04 10:00:00,0.8817053040000493
2018-03-04 11:00:00,2018-03-04 11:00:00,0.9244493100808951
2018-03-04 12:00:00,2018-03-04 12:00:00,1.0010659502456296
2018-03-04 13:00:00,2018-03-04 13:00:00,1.0323577403681445
2018-03-04 14:00:00,2018-03-04 14:00:00,1.0610318761605493
2018-03-04 15:00:00,2018-03-04 15:00:00,0.991209230939675
2018-03-04 16:00:00,2018-03-04 16:00:00,1.0878389339047736
2018-03-04 17:00:00,2018-03-04 17:00:00,0.9372239485959413
2018-03-04 18:00:00,2018-03-04 18:00:00,0.8542620050474952
2018-03-04 19:00:00,2018-03-04 19:00:00,0.857792622741792
2018-03-04 20:00:00,2018-03-04 20:00:00,1.0077309857431098
2018-03-04 21:00:00,2018-03-04 21:00:00,1.1464475813304298
2018-03-04 22:00:00,2018-03-04 22:00:00,1.118801868588291
2018-03-04 23:00:00,2018-03-04 23:00:00,0.9765709233624092
2018-03-05 00:00:00,2018-03-05 00:00:00,0.9334492025067374
2018-03-05 01:00:00,2018-03-05 01:00:00,0.5927056373966322
2018-03-05 02:00:00,2018-03-05 02:00:00,0.3143729994156707
2018-03-05 03:00:00,2018-03-05 03:00:00,0.3192484703545855
2018-03-05 04:00:00,2018-03-05 04:00:00,0.30853647268791085
2018-03-05 05:00:00,2018-03-05 05:00:00,0.29495265440026497
2018-03-05 06:00:00,2018-03-05 06:00:00,0.9040439941422639
2018-03-05 07:00:00,2018-03-05 07:00:00,0.7211951627701443
2018-03-05 08:00:00,2018-03-05 08:00:00,0.5284602662636657
2018-03-05 09:00:00,2018-03-05 09:00:00,0.5812234517381649
2018-03-05 10:00:00,2018-03-05 10:00:00,0.5704882751670926
2018-03-05 11:00:00,2018-03-05 11:00:00,0.7240259842122724
2018-03-05 12:00:00,2018-03-05 12:00:00,0.8375354948205069
2018-03-05 13:00:00,2018-03-05 13:00:00,0.8843066787643826
2018-03-05 14:00:00,2018-03-05 14:00:00,0.961930994505643
2018-03-05 15:00:00,2018-03-05 15:00:00,0.8724552422052425
2018-03-05 16:00:00,2018-03-05 16:00:00,1.2544160800134838
2018-03-05 17:00:00,2018-03-05 17:00:00,0.889322219837548
2018-03-05 18:00:00,2018-03-05 18:00:00,0.7881538146477571
2018-03-05 19:00:00,2018-03-05 19:00:00,0.7456351395536452
2018-03-05 20:00:00,2018-03-05 20:00:00,0.9305429309082679
2018-03-05 21:00:00,2018-03-05 21:00:00,1.1916555721939301
2018-03-05 22:00:00,2018-03-05 22:00:00,1.3519926170942334
2018-03-05 23:00:00,2018-03-05 23:00:00,1.4047745017980056
2018-03-06 00:00:00,2018-03-06 00:00:00,0.8768411298799181
2018-03-06 01:00:00,2018-03-06 01:00:00,0.4888626980480428
2018-03-06 02:00:00,2018-03-06 02:00:00,0.3774345849444567
2018-03-06 03:00:00,2018-03-06 03:00:00,0.3730518651659977
2018-03-06 04:00:00,2018-03-06 04:00:00,0.35321912701869085
2018-03-06 05:00:00,2018-03-06 05:00:00,0.3449007721095024
2018-03-06 06:00:00,2018-03-06 06:00:00,0.6522122785052249
2018-03-06 07:00:00,2018-03-06 07:00:00,0.6414591027867351
2018-03-06 08:00:00,2018-03-06 08:00:00,0.635225438072284
2018-03-06 09:00:00,2018-03-06 09:00:00,0.7107009622931887
2018-03-06 10:00:00,2018-03-06 10:00:00,0.8695246810512522
2018-03-06 11:00:00,2018-03-06 11:00:00,0.91667337488269
2018-03-06 12:00:00,2018-03-06 12:00:00,0.9945540829414816
2018-03-06 13:00:00,2018-03-06 13:00:00,1.026379023189306
2018-03-06 14:00:00,2018-03-06 14:00:00,1.0569674127475752
2018-03-06 15:00:00,2018-03-06 15:00:00,0.9865656152519942
2018-03-06 16:00:00,2018-03-06 16:00:00,1.0945825645196228
2018-03-06 17:00:00,2018-03-06 17:00:00,0.9356612647298269
2018-03-06 18:00:00,2018-03-06 18:00:00,0.8522221738276675
2018-03-06 19:00:00,2018-03-06 19:00:00,0.8538528913534557
2018-03-06 20:00:00,2018-03-06 20:00:00,1.0047382776551566
2018-03-06 21:00:00,2018-03-06 21:00:00,1.1480236188884776
2018-03-06 22:00:00,2018-03-06 22:00:00,1.1281766763338192
2018-03-06 23:00:00,2018-03-06 23:00:00,0.9944049969353614
2018-03-07 00:00:00,2018-03-07 00:00:00,0.9315417421267256
