,Fecha,EDP
2018-03-04 10:00:00,2018-03-04 10:00:00,126.2098900194902
2018-03-04 11:00:00,2018-03-04 11:00:00,125.41726616877968
2018-03-04 12:00:00,2018-03-04 12:00:00,122.92514250879138
2018-03-04 13:00:00,2018-03-04 13:00:00,123.20796088315433
2018-03-04 14:00:00,2018-03-04 14:00:00,127.90224907681278
2018-03-04 15:00:00,2018-03-04 15:00:00,130.41008240042427
2018-03-04 16:00:00,2018-03-04 16:00:00,130.41008240042757
2018-03-04 17:00:00,2018-03-04 17:00:00,64.42656921244793
2018-03-04 18:00:00,2018-03-04 18:00:00,54.73458645990138
2018-03-04 19:00:00,2018-03-04 19:00:00,54.88358022502818
2018-03-04 20:00:00,2018-03-04 20:00:00,50.91878807213554
2018-03-04 21:00:00,2018-03-04 21:00:00,47.57553622960601
2018-03-04 22:00:00,2018-03-04 22:00:00,46.95178120852701
2018-03-04 23:00:00,2018-03-04 23:00:00,46.14723987870072
2018-03-05 00:00:00,2018-03-05 00:00:00,46.548968408121006
2018-03-05 01:00:00,2018-03-05 01:00:00,48.73375901714728
2018-03-05 02:00:00,2018-03-05 02:00:00,59.75359440016802
2018-03-05 03:00:00,2018-03-05 03:00:00,59.91965153844199
2018-03-05 04:00:00,2018-03-05 04:00:00,60.90743603384276
2018-03-05 05:00:00,2018-03-05 05:00:00,60.42796698396198
2018-03-05 06:00:00,2018-03-05 06:00:00,59.33995961401009
2018-03-05 07:00:00,2018-03-05 07:00:00,123.11459745879876
2018-03-05 08:00:00,2018-03-05 08:00:00,123.15673618885654
2018-03-05 09:00:00,2018-03-05 09:00:00,122.49657465387901
2018-03-05 10:00:00,2018-03-05 10:00:00,121.8574819828722
2018-03-05 11:00:00,2018-03-05 11:00:00,121.0779293494773
2018-03-05 12:00:00,2018-03-05 12:00:00,118.62690348043752
2018-03-05 13:00:00,2018-03-05 13:00:00,118.90049087294976
2018-03-05 14:00:00,2018-03-05 14:00:00,123.52193222534655
2018-03-05 15:00:00,2018-03-05 15:00:00,125.98840868887233
2018-03-05 16:00:00,2018-03-05 16:00:00,125.98840868887568
2018-03-05 17:00:00,2018-03-05 17:00:00,60.50063146103929
2018-03-05 18:00:00,2018-03-05 18:00:00,50.92508388463736
2018-03-05 19:00:00,2018-03-05 19:00:00,51.07000981391656
2018-03-05 20:00:00,2018-03-05 20:00:00,47.15373563597846
2018-03-05 21:00:00,2018-03-05 21:00:00,43.77892033174295
2018-03-05 22:00:00,2018-03-05 22:00:00,43.140153152383554
2018-03-05 23:00:00,2018-03-05 23:00:00,42.328223828882805
2018-03-06 00:00:00,2018-03-06 00:00:00,42.725222446439545
2018-03-06 01:00:00,2018-03-06 01:00:00,44.882226862937756
2018-03-06 02:00:00,2018-03-06 02:00:00,55.83517169591731
2018-03-06 03:00:00,2018-03-06 03:00:00,56.00265942294721
2018-03-06 04:00:00,2018-03-06 04:00:00,56.972259270773094
2018-03-06 05:00:00,2018-03-06 05:00:00,56.4924538326812
2018-03-06 06:00:00,2018-03-06 06:00:00,55.4119662482044
2018-03-06 07:00:00,2018-03-06 07:00:00,118.77446195960528
2018-03-06 08:00:00,2018-03-06 08:00:00,118.81647428350928
2018-03-06 09:00:00,2018-03-06 09:00:00,118.1582929153213
2018-03-06 10:00:00,2018-03-06 10:00:00,117.52111721629012
2018-03-06 11:00:00,2018-03-06 11:00:00,116.74390286796512
2018-03-06 12:00:00,2018-03-06 12:00:00,114.30022890459303
2018-03-06 13:00:00,2018-03-06 13:00:00,114.57470536116328
2018-03-06 14:00:00,2018-03-06 14:00:00,119.18057490373978
2018-03-06 15:00:00,2018-03-06 15:00:00,121.63965311718022
2018-03-06 16:00:00,2018-03-06 16:00:00,121.63965311718353
2018-03-06 17:00:00,2018-03-06 17:00:00,56.57007881700362
2018-03-06 18:00:00,2018-03-06 18:00:00,47.03949895859887
2018-03-06 19:00:00,2018-03-06 19:00:00,47.18459318399602
2018-03-06 20:00:00,2018-03-06 20:00:00,43.28637976908355
2018-03-06 21:00:00,2018-03-06 21:00:00,39.95414313360774
2018-03-06 22:00:00,2018-03-06 22:00:00,39.32676266986187
2018-03-06 23:00:00,2018-03-06 23:00:00,38.525001393496005
2018-03-07 00:00:00,2018-03-07 00:00:00,38.9200997878281
