,Fecha,TPD
2018-03-04 10:00:00,2018-03-04 10:00:00,122.5992015906077
2018-03-04 11:00:00,2018-03-04 11:00:00,121.9692492614823
2018-03-04 12:00:00,2018-03-04 12:00:00,123.50643916120832
2018-03-04 13:00:00,2018-03-04 13:00:00,126.94681966418312
2018-03-04 14:00:00,2018-03-04 14:00:00,130.58436632496029
2018-03-04 15:00:00,2018-03-04 15:00:00,131.65877717600935
2018-03-04 16:00:00,2018-03-04 16:00:00,131.99473090575574
2018-03-04 17:00:00,2018-03-04 17:00:00,130.7918566403988
2018-03-04 18:00:00,2018-03-04 18:00:00,126.98504736920319
2018-03-04 19:00:00,2018-03-04 19:00:00,125.80876277419367
2018-03-04 20:00:00,2018-03-04 20:00:00,122.49130275792494
2018-03-04 21:00:00,2018-03-04 21:00:00,119.73685467596911
2018-03-04 22:00:00,2018-03-04 22:00:00,118.30409732340404
2018-03-04 23:00:00,2018-03-04 23:00:00,117.72791245350025
2018-03-05 00:00:00,2018-03-05 00:00:00,118.04594087189518
2018-03-05 01:00:00,2018-03-05 01:00:00,121.27556643714031
2018-03-05 02:00:00,2018-03-05 02:00:00,127.57658444167815
2018-03-05 03:00:00,2018-03-05 03:00:00,127.42233705241091
2018-03-05 04:00:00,2018-03-05 04:00:00,128.17159760818353
2018-03-05 05:00:00,2018-03-05 05:00:00,128.14702146466138
2018-03-05 06:00:00,2018-03-05 06:00:00,126.50199486242127
2018-03-05 07:00:00,2018-03-05 07:00:00,124.97909229511414
2018-03-05 08:00:00,2018-03-05 08:00:00,125.00684984697145
2018-03-05 09:00:00,2018-03-05 09:00:00,123.910288269502
2018-03-05 10:00:00,2018-03-05 10:00:00,122.80008783630932
2018-03-05 11:00:00,2018-03-05 11:00:00,122.17315628359687
2018-03-05 12:00:00,2018-03-05 12:00:00,123.70400534250768
2018-03-05 13:00:00,2018-03-05 13:00:00,127.12833590745869
2018-03-05 14:00:00,2018-03-05 14:00:00,130.74762629066407
2018-03-05 15:00:00,2018-03-05 15:00:00,131.81624829922623
2018-03-05 16:00:00,2018-03-05 16:00:00,132.15053774013825
2018-03-05 17:00:00,2018-03-05 17:00:00,130.95353655884634
2018-03-05 18:00:00,2018-03-05 18:00:00,127.16714753824775
2018-03-05 19:00:00,2018-03-05 19:00:00,125.99618632077824
2018-03-05 20:00:00,2018-03-05 20:00:00,122.69516722788096
2018-03-05 21:00:00,2018-03-05 21:00:00,119.95371221768266
2018-03-05 22:00:00,2018-03-05 22:00:00,118.5275211766107
2018-03-05 23:00:00,2018-03-05 23:00:00,117.95405482798321
2018-03-06 00:00:00,2018-03-06 00:00:00,118.27028225389702
2018-03-06 01:00:00,2018-03-06 01:00:00,121.48407965856
2018-03-06 02:00:00,2018-03-06 02:00:00,127.75419700875202
2018-03-06 03:00:00,2018-03-06 03:00:00,127.6005254731049
2018-03-06 04:00:00,2018-03-06 04:00:00,128.34607083690935
2018-03-06 05:00:00,2018-03-06 05:00:00,128.3215507484044
2018-03-06 06:00:00,2018-03-06 06:00:00,126.68440084957271
2018-03-06 07:00:00,2018-03-06 07:00:00,125.16876557070655
2018-03-06 08:00:00,2018-03-06 08:00:00,125.19634968088535
2018-03-06 09:00:00,2018-03-06 09:00:00,124.1050638774324
2018-03-06 10:00:00,2018-03-06 10:00:00,123.0002091491844
2018-03-06 11:00:00,2018-03-06 11:00:00,122.37630851882022
2018-03-06 12:00:00,2018-03-06 12:00:00,123.89988859134601
2018-03-06 13:00:00,2018-03-06 13:00:00,127.30772142599282
2018-03-06 14:00:00,2018-03-06 14:00:00,130.9094100606057
2018-03-06 15:00:00,2018-03-06 15:00:00,131.97278422808927
2018-03-06 16:00:00,2018-03-06 16:00:00,132.3054507080444
2018-03-06 17:00:00,2018-03-06 17:00:00,131.11424991841173
2018-03-06 18:00:00,2018-03-06 18:00:00,127.34644367911037
2018-03-06 19:00:00,2018-03-06 19:00:00,126.18110289156327
2018-03-06 20:00:00,2018-03-06 20:00:00,122.89611093571331
2018-03-06 21:00:00,2018-03-06 21:00:00,120.16788202665235
2018-03-06 22:00:00,2018-03-06 22:00:00,118.74854700858111
2018-03-06 23:00:00,2018-03-06 23:00:00,118.17784741324827
2018-03-07 00:00:00,2018-03-07 00:00:00,118.49251068403402
