,Fecha,TPD
2018-03-04 10:00:00,2018-03-04 10:00:00,123.30433367596319
2018-03-04 11:00:00,2018-03-04 11:00:00,122.67746097767916
2018-03-04 12:00:00,2018-03-04 12:00:00,124.17896121641759
2018-03-04 13:00:00,2018-03-04 13:00:00,127.54901372104631
2018-03-04 14:00:00,2018-03-04 14:00:00,131.14283776496052
2018-03-04 15:00:00,2018-03-04 15:00:00,132.20509941104524
2018-03-04 16:00:00,2018-03-04 16:00:00,132.53605858036804
2018-03-04 17:00:00,2018-03-04 17:00:00,131.34965447345328
2018-03-04 18:00:00,2018-03-04 18:00:00,127.56821256664482
2018-03-04 19:00:00,2018-03-04 19:00:00,126.40952371986972
2018-03-04 20:00:00,2018-03-04 20:00:00,123.14677052001946
2018-03-04 21:00:00,2018-03-04 21:00:00,120.42849024816799
2018-03-04 22:00:00,2018-03-04 22:00:00,119.0130176724908
2018-03-04 23:00:00,2018-03-04 23:00:00,118.44287567910997
2018-03-05 00:00:00,2018-03-05 00:00:00,118.7561281043639
2018-03-05 01:00:00,2018-03-05 01:00:00,121.95494869586479
2018-03-05 02:00:00,2018-03-05 02:00:00,128.22380352509543
2018-03-05 03:00:00,2018-03-05 03:00:00,128.06237539619377
2018-03-05 04:00:00,2018-03-05 04:00:00,128.80312307389752
2018-03-05 05:00:00,2018-03-05 05:00:00,128.76239705338776
2018-03-05 06:00:00,2018-03-05 06:00:00,127.15128308711614
2018-03-05 07:00:00,2018-03-05 07:00:00,125.66352357825207
2018-03-05 08:00:00,2018-03-05 08:00:00,125.69186852147388
2018-03-05 09:00:00,2018-03-05 09:00:00,124.62313070152841
2018-03-05 10:00:00,2018-03-05 10:00:00,123.53522492146946
2018-03-05 11:00:00,2018-03-05 11:00:00,122.91179681057015
2018-03-05 12:00:00,2018-03-05 12:00:00,124.40642343490366
2018-03-05 13:00:00,2018-03-05 13:00:00,127.75854718482287
2018-03-05 14:00:00,2018-03-05 14:00:00,131.33152834863162
2018-03-05 15:00:00,2018-03-05 15:00:00,132.3870989863163
2018-03-05 16:00:00,2018-03-05 16:00:00,132.71616908906324
2018-03-05 17:00:00,2018-03-05 17:00:00,131.53642913281968
2018-03-05 18:00:00,2018-03-05 18:00:00,127.77867407588472
2018-03-05 19:00:00,2018-03-05 19:00:00,126.62593043406696
2018-03-05 20:00:00,2018-03-05 20:00:00,123.38183094434085
2018-03-05 21:00:00,2018-03-05 21:00:00,120.67820460912242
2018-03-05 22:00:00,2018-03-05 22:00:00,119.27010479500264
2018-03-05 23:00:00,2018-03-05 23:00:00,118.7030372730044
2018-03-06 00:00:00,2018-03-06 00:00:00,119.01417334861323
2018-03-06 01:00:00,2018-03-06 01:00:00,122.19495611268204
2018-03-06 02:00:00,2018-03-06 02:00:00,128.42841063085194
2018-03-06 03:00:00,2018-03-06 03:00:00,128.26762706063738
2018-03-06 04:00:00,2018-03-06 04:00:00,129.00412478178464
2018-03-06 05:00:00,2018-03-06 05:00:00,128.96352721633914
2018-03-06 06:00:00,2018-03-06 06:00:00,127.36123539440683
2018-03-06 07:00:00,2018-03-06 07:00:00,125.8815879342227
2018-03-06 08:00:00,2018-03-06 08:00:00,125.90971727989185
2018-03-06 09:00:00,2018-03-06 09:00:00,124.84687008263518
