,Fecha,VE
2018-03-04 10:00:00,2018-03-04 10:00:00,130.71560170200112
2018-03-04 11:00:00,2018-03-04 11:00:00,129.7098770794008
2018-03-04 12:00:00,2018-03-04 12:00:00,126.26462560409536
2018-03-04 13:00:00,2018-03-04 13:00:00,127.0126501976391
2018-03-04 14:00:00,2018-03-04 14:00:00,133.66091462011195
2018-03-04 15:00:00,2018-03-04 15:00:00,137.42364373536253
2018-03-04 16:00:00,2018-03-04 16:00:00,138.0195543367551
2018-03-04 17:00:00,2018-03-04 17:00:00,136.6267594122765
2018-03-04 18:00:00,2018-03-04 18:00:00,59.817099991367144
2018-03-04 19:00:00,2018-03-04 19:00:00,60.28215096106498
2018-03-04 20:00:00,2018-03-04 20:00:00,48.036128645551585
2018-03-04 21:00:00,2018-03-04 21:00:00,46.96694174394267
2018-03-04 22:00:00,2018-03-04 22:00:00,47.241884792094844
2018-03-04 23:00:00,2018-03-04 23:00:00,47.124642616203026
2018-03-05 00:00:00,2018-03-05 00:00:00,47.148527745669426
2018-03-05 01:00:00,2018-03-05 01:00:00,48.28782437113314
2018-03-05 02:00:00,2018-03-05 02:00:00,68.56141621147458
2018-03-05 03:00:00,2018-03-05 03:00:00,68.69553602478149
2018-03-05 04:00:00,2018-03-05 04:00:00,68.2760425560554
2018-03-05 05:00:00,2018-03-05 05:00:00,67.29788055213601
2018-03-05 06:00:00,2018-03-05 06:00:00,66.32014551407619
2018-03-05 07:00:00,2018-03-05 07:00:00,66.69397800187967
2018-03-05 08:00:00,2018-03-05 08:00:00,130.65108627270928
2018-03-05 09:00:00,2018-03-05 09:00:00,129.83987348815555
2018-03-05 10:00:00,2018-03-05 10:00:00,129.05780231794077
2018-03-05 11:00:00,2018-03-05 11:00:00,128.06932466397257
2018-03-05 12:00:00,2018-03-05 12:00:00,124.64171298516357
2018-03-05 13:00:00,2018-03-05 13:00:00,125.40622047040551
2018-03-05 14:00:00,2018-03-05 14:00:00,132.06941337338586
2018-03-05 15:00:00,2018-03-05 15:00:00,135.8475736637758
2018-03-05 16:00:00,2018-03-05 16:00:00,136.45948572415247
2018-03-05 17:00:00,2018-03-05 17:00:00,135.0829887305295
2018-03-05 18:00:00,2018-03-05 18:00:00,58.30710302148597
2018-03-05 19:00:00,2018-03-05 19:00:00,58.78768510272178
2018-03-05 20:00:00,2018-03-05 20:00:00,46.56000398025975
2018-03-05 21:00:00,2018-03-05 21:00:00,45.50638187120982
2018-03-05 22:00:00,2018-03-05 22:00:00,45.796415117782274
2018-03-05 23:00:00,2018-03-05 23:00:00,45.69419644753576
2018-03-06 00:00:00,2018-03-06 00:00:00,45.73291527226141
2018-03-06 01:00:00,2018-03-06 01:00:00,46.88662952156601
2018-03-06 02:00:00,2018-03-06 02:00:00,67.17000923251828
2018-03-06 03:00:00,2018-03-06 03:00:00,67.31847639492506
2018-03-06 04:00:00,2018-03-06 04:00:00,66.91330946335582
2018-03-06 05:00:00,2018-03-06 05:00:00,65.94945594092961
2018-03-06 06:00:00,2018-03-06 06:00:00,64.98588208973469
2018-03-06 07:00:00,2018-03-06 07:00:00,65.37341392493417
2018-03-06 08:00:00,2018-03-06 08:00:00,129.32920286437582
2018-03-06 09:00:00,2018-03-06 09:00:00,128.5316798940493
2018-03-06 10:00:00,2018-03-06 10:00:00,127.76315058513516
2018-03-06 11:00:00,2018-03-06 11:00:00,126.78812341864314
2018-03-06 12:00:00,2018-03-06 12:00:00,123.37439463294544
2018-03-06 13:00:00,2018-03-06 13:00:00,124.15166756121216
2018-03-06 14:00:00,2018-03-06 14:00:00,130.82611065552095
2018-03-06 15:00:00,2018-03-06 15:00:00,134.61606214498983
2018-03-06 16:00:00,2018-03-06 16:00:00,135.24037359881208
2018-03-06 17:00:00,2018-03-06 17:00:00,133.8766100372137
2018-03-06 18:00:00,2018-03-06 18:00:00,57.1309667875356
2018-03-06 19:00:00,2018-03-06 19:00:00,57.62358970699905
2018-03-06 20:00:00,2018-03-06 20:00:00,45.41079531270799
2018-03-06 21:00:00,2018-03-06 21:00:00,44.36932016901937
2018-03-06 22:00:00,2018-03-06 22:00:00,44.67106163466779
2018-03-06 23:00:00,2018-03-06 23:00:00,44.58051983354298
2018-03-07 00:00:00,2018-03-07 00:00:00,44.63076073093343
